Date,Open,High,Low,Close,Adj Close,Volume
2019-08-27,71.440002,71.570000,70.800003,70.900002,66.593918,2974100
2019-08-28,70.730003,71.279999,70.580002,71.190002,66.866310,10657100
2019-08-29,71.879997,72.129997,71.620003,71.989998,67.617714,3962800
2019-08-30,72.470001,72.470001,71.870003,72.129997,67.749214,3108500
2019-09-03,71.650002,71.860001,71.440002,71.739998,67.382896,2548800
2019-09-04,72.470001,72.699997,72.330002,72.699997,68.284584,1090700
2019-09-05,73.330002,73.699997,73.330002,73.489998,69.026604,1436300
2019-09-06,73.660004,73.760002,73.510002,73.589996,69.120537,1332700
2019-09-09,73.860001,73.860001,73.480003,73.680000,69.205070,3275500
2019-09-10,73.500000,73.720001,73.269997,73.690002,69.214478,2504900
2019-09-11,73.849998,74.260002,73.760002,74.260002,69.749847,1433500
2019-09-12,74.459999,74.760002,74.239998,74.580002,70.050407,1732400
2019-09-13,74.809998,74.919998,74.599998,74.660004,70.125565,2169800
2019-09-16,74.309998,74.459999,74.220001,74.349998,69.834396,1620300
2019-09-17,74.190002,74.529999,74.129997,74.470001,69.947090,1054000
2019-09-18,74.379997,74.489998,73.849998,74.430000,69.909515,1051100
2019-09-19,74.639999,74.839996,74.430000,74.510002,69.984657,1109300
2019-09-20,74.639999,74.739998,74.070000,74.230003,69.721672,1625400
2019-09-23,74.010002,74.300003,73.940002,74.129997,69.627731,928500
2019-09-24,74.370003,74.440002,73.470001,73.690002,69.214478,4060600
2019-09-25,73.459999,73.980003,73.160004,73.889999,69.402321,6669400
2019-09-26,74.019997,74.019997,73.559998,73.809998,69.327187,6084300
2019-09-27,73.970001,73.989998,73.099998,73.400002,68.942085,1993900
2019-09-30,73.570000,73.870003,73.540001,73.750000,69.270828,1487900
2019-10-01,73.820000,73.870003,72.870003,72.900002,68.472450,2298600
2019-10-02,72.360001,72.370003,71.379997,71.680000,67.326553,2518000
2019-10-03,71.690002,72.279999,71.120003,72.279999,67.890099,7861100
2019-10-04,72.379997,73.070000,72.360001,73.040001,68.603935,2933400
2019-10-07,72.839996,73.199997,72.720001,72.750000,68.331551,2268500
2019-10-08,72.349998,72.449997,71.790001,71.790001,67.429863,2588000
2019-10-09,72.379997,72.650002,72.199997,72.410004,68.012215,1536500
2019-10-10,72.440002,73.129997,72.419998,72.980003,68.547600,2962500
2019-10-11,73.879997,74.449997,73.849998,73.970001,69.477463,4277500
2019-10-14,73.750000,73.940002,73.720001,73.769997,69.289612,1201900
2019-10-15,74.050003,74.699997,74.029999,74.510002,69.984657,2847400
2019-10-16,74.410004,74.639999,74.320000,74.529999,70.003448,2983200
2019-10-17,74.870003,74.959999,74.570000,74.709999,70.172523,1954200
2019-10-18,74.629997,74.739998,74.230003,74.459999,69.937706,1509800
2019-10-21,74.919998,75.000000,74.800003,75.000000,70.444901,860600
2019-10-22,75.070000,75.199997,74.760002,74.760002,70.219475,1683500
2019-10-23,74.750000,75.029999,74.690002,75.029999,70.473091,2133100
2019-10-24,75.309998,75.349998,74.980003,75.199997,70.632751,1295200
2019-10-25,75.029999,75.529999,75.019997,75.410004,70.830009,1268100
2019-10-28,75.690002,75.910004,75.680000,75.860001,71.252670,1142600
2019-10-29,75.650002,75.919998,75.570000,75.769997,71.168144,1343600
2019-10-30,75.699997,76.040001,75.389999,75.949997,71.337212,2386700
2019-10-31,75.860001,75.930000,75.400002,75.769997,71.168144,3823800
2019-11-01,76.209999,76.540001,76.190002,76.540001,71.891380,1985900
2019-11-04,77.000000,77.059998,76.800003,76.870003,72.201332,1415500
2019-11-05,76.989998,77.029999,76.739998,76.889999,72.220108,3875100
2019-11-06,76.849998,76.940002,76.620003,76.849998,72.182541,1388600
2019-11-07,77.209999,77.379997,77.029999,77.169998,72.483124,1212000
2019-11-08,76.940002,77.169998,76.720001,77.169998,72.483124,1846200
2019-11-11,76.690002,76.989998,76.599998,76.989998,72.314034,1012200
2019-11-12,76.970001,77.190002,76.809998,76.940002,72.267082,1860600
2019-11-13,76.570000,76.940002,76.459999,76.870003,72.201332,936400
2019-11-14,76.660004,76.879997,76.550003,76.879997,72.210724,1583300
2019-11-15,77.190002,77.389999,77.080002,77.389999,72.689743,2037800
2019-11-18,77.349998,77.500000,77.220001,77.459999,72.755493,1281100
2019-11-19,77.650002,77.750000,77.250000,77.370003,72.670967,2816200
2019-11-20,77.160004,77.320000,76.709999,77.040001,72.361023,1767200
2019-11-21,77.070000,77.070000,76.739998,77.010002,72.332832,955200
2019-11-22,77.150002,77.190002,76.870003,77.080002,72.398575,905500
2019-11-25,77.389999,77.699997,77.379997,77.669998,72.952744,1427800
2019-11-26,77.620003,77.820000,77.540001,77.730003,73.009094,1372300
2019-11-27,77.870003,78.059998,77.809998,78.019997,73.281487,639400
2019-11-29,77.709999,77.779999,77.540001,77.540001,72.830635,4851300
2019-12-02,77.639999,77.639999,76.860001,77.040001,72.361023,3269300
